dirs,Al,Ts,mean_E
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2000,-0.259633347710024
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2100,-0.2561213182987148
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2200,-0.25555634895772966
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2300,-0.24799949682355676
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2400,-0.2404850906789417
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2500,-0.2344347131602856
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2600,-0.234554174100285
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2700,-0.23568711337849083
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2800,-0.23225129543727846
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,2900,-0.2286171870812716
Ti0.55_Al0.25_Nb0.10_Zr0.10,0.25,3000,-0.22680910150498626
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,300,-0.3656272522458994
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,400,-0.3647076115000525
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,500,-0.3625482104972101
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,600,-0.3590605144334274
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,700,-0.354468302236583
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,800,-0.35080494875175333
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,900,-0.347948609245269
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1000,-0.34397703678977026
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1100,-0.33961364299469693
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1200,-0.3363142204035114
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1300,-0.32969950869996645
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1400,-0.32645586184820335
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1500,-0.32398212170759844
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1600,-0.3255617479864748
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1700,-0.3202888961263618
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1800,-0.31603385289461505
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,1900,-0.3151291518334603
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2000,-0.30919611499720573
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2100,-0.30946838839328916
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2200,-0.3030280208219794
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2300,-0.29518082850132477
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2400,-0.29677757403676414
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2500,-0.29960008412671624
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2600,-0.2855878155300406
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2700,-0.26220290761577486
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2800,-0.26228965816909244
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,2900,-0.2602733290498923
Ti0.50_Al0.30_Nb0.10_Zr0.10,0.3,3000,-0.2593018407527426
